Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8100558659217877,0.7857142857142857,0.7432432432432432,0.7638888888888888,0.8815958815958815
KNN,0.7150837988826816,0.6885245901639344,0.5675675675675675,0.6222222222222222,0.7722007722007722
Naive Bayes,0.776536312849162,0.7125,0.7702702702702703,0.7402597402597403,0.8513513513513513
Decision Tree,0.7821229050279329,0.7397260273972602,0.7297297297297297,0.7346938775510204,0.7838481338481338
Random Forest,0.8100558659217877,0.7777777777777778,0.7567567567567568,0.7671232876712328,0.892084942084942
SVM,0.659217877094972,0.76,0.25675675675675674,0.3838383838383838,0.8069498069498069
